Latitude;Longitude;Bank;Street/City;City/Street;Valid_To_Date;Avg_Weekly_Transactions
50.0882891667;14.4290730556;Fio banka;Praha 1;Námìstí Republiky;2017-06-05;40719
50.0894922222;14.4272494444;Fio banka;Praha 1;Rybná 682/14;2017-06-05;352900
50.0882277778;14.4316816667;Fio banka;Praha 1;V Celnici 1028/10;2017-06-05;225890
50.0879236111;14.4301616667;Fio banka;Praha 1;V Celnici 1031/4;2017-06-05;203875
50.0775019444;14.4180002778;Fio banka;Praha 2;Odborù 278/4;2017-06-05;271512
50.0782597222;14.4612894444;Fio banka;Praha 3;Vinohradská 2828/151;2017-06-05;264950
50.0262619444;14.4323155556;Fio banka;Praha 4;Novodvorská 1800/136;2017-06-05;321250
50.0327283333;14.4822547222;Fio banka;Praha 4;Krejnická 2021/1;2017-06-05;194432
50.0470438889;14.4464986111;Fio banka;Praha 4;Budìjovická 1523/9a;2017-06-05;380500
50.0207880556;14.4904361111;Fio banka;Praha 4;K Verneráku 950/45;2017-06-05;53460
50.0051419444;14.4055780556;Fio banka;Praha 4;Obchodní námìstí 1590/4;2017-06-05;237006
50.0565;14.43372;Fio banka;Praha 4;Na Pankráci;2017-06-05;445581
50.0729941667;14.3402994444;Fio banka;Praha 5;V Úvalu 84/1;2017-06-05;47320
50.0605919444;14.4089708333;Fio banka;Praha 5;Nádraní 279/1;2017-06-05;352044
50.0729022222;14.402055;Fio banka;Praha 5;Plzeòská 8;2017-06-05;404640
50.1006741667;14.401435;Fio banka;Praha 6;Ès. armády 785/22;2017-06-05;136056
50.1010222222;14.3870513889;Fio banka;Praha 6;Thákurova 1;2017-06-05;413775
50.10032;14.3944480556;Fio banka;Praha 6;Vítìzné námìstí;2017-06-05;492480
50.0886438889;14.3443511111;Fio banka;Praha 6;Køenova 438/3;2017-06-05;286290
50.1074005556;14.4537047222;Fio banka;Praha 7;Jankovcova 1037/49;2017-06-05;37373
50.1028647222;14.4568886111;Fio banka;Praha 7;Jankovcova 1569/2C;2017-06-05;287325
50.1002827778;14.4491433333;Fio banka;Praha 7;Jateèní 1530/33;2017-06-05;380688
50.0911419444;14.4393380556;Fio banka;Praha 8;Sokolovská 26/12;2017-06-05;152800
50.12256;14.4560991667;Fio banka;Praha 8;Klapkova 124/10;2017-06-05;317555
50.126575;14.4890777778;Fio banka;Praha 9;Køiovatka ulic Vysoèanská a Lovosická;2017-06-05;475146
50.1014472222;14.5018177778;Fio banka;Praha 9;Èeskomoravská 316/24;2017-06-05;470544
50.110515;14.4991677778;Fio banka;Praha 9;Sokolovská 217/42;2017-06-05;674280
50.0521697222;14.5389397222;Fio banka;Praha 10;Weilova 1144/2;2017-06-05;250400
50.0747419444;14.5183619444;Fio banka;Praha 10;Sazeèská 1;2017-06-05;242250
50.0725086111;14.5421127778;Fio banka;Praha 10;Nákupní 389/1;2017-06-05;280440
50.06873;14.457375;Fio banka;Praha 10;Moskevská 268/53;2017-06-05;304185
50.0544297222;14.4861136111;Fio banka;Praha 10;K Vodì 3200/3;2017-06-05;249900
50.0308827778;14.4911552778;Fio banka;Praha 11;Roztylská;2017-06-05;414720
50.0127052778;14.6230058333;Fio banka;Praha;Mírová 364/34;2017-06-05;372015
50.0874911;14.4036389;Fio banka;Praha 1;Karmelitská 267/33;2017-06-05;363915
49.0000797;14.4514978;Fio banka;Èeské Budìjovice;Èeské Vrbné 2360;2017-06-05;279540
48.9738594444;14.4743147222;Fio banka;Èeské Budìjovice;Námìstí Pøemysla Otakara II. 123/36;2017-06-05;202825
49.1315302778;15.0013691667;Fio banka;Jindøichùv Hradec;Hvìzdná 172;2017-06-05;509166
49.1461322222;15.0048308333;Fio banka;Jindøichùv Hradec;Rùová 41;2017-06-05;483552
49.3085619444;14.1501358333;Fio banka;Písek;Nerudova 88;2017-06-05;354880
49.2602316667;13.9052075;Fio banka;Strakonice;Palackého nám. 102;2017-06-05;370524
49.4131608333;14.6634977778;Fio banka;Tábor;Palackého 359/1;2017-06-05;262570
49.3638677778;16.643595;Fio banka;Blansko;nám. Svobody 5;2017-06-05;290250
49.19487;16.6090236111;Fio banka;Brno;námìstí Svobody 702/9;2017-06-05;217630
49.1847322222;16.637775;Fio banka;Brno;Húskova 1123/2;2017-06-05;296320
49.1560161111;16.5980675;Fio banka;Brno;Vídeòská 100;2017-06-05;289800
49.1360461111;16.632715;Fio banka;Brno;U Dálnice 744;2017-06-05;306576
49.2170255556;16.6084655556;Fio banka;Brno;Cimburkova 593/4;2017-06-05;36351
49.1888769444;16.6069680556;Fio banka;Brno;Nové sady 2;2017-06-05;381300
49.2102969444;16.5902602778;Fio banka;Brno;Veveøí 2581/102;2017-06-05;295008
48.8543711111;17.1246222222;Fio banka;Hodonín;Národní tøída 343/79;2017-06-05;391800
49.27713;17.0004658333;Fio banka;Vyškov;Masarykovo námìstí 78/10;2017-06-05;210912
48.86065;16.04611;Fio banka;Znojmo;Praská 1539/7;2017-06-05;537759
50.0721;12.3678;Fio banka;Cheb;Dragounská 2529/6;2017-06-05;244656
50.07524;12.3742308333;Fio banka;Cheb;Svobody 564/31;2017-06-05;221520
50.2288102778;12.8765038889;Fio banka;Karlovy Vary;I. P. Pavlova 2001/11;2017-06-05;172150
